Album Name,Track,Release date,minute,Second,Ranked in Album,Streams
Dont smile at me,Copycat,07/13/2017,3,15,7,593148084
Dont smile at me,Watch,06/30/2017,2,58,4,899873626
Dont smile at me,Ocean Eyes,11/18/2016,3,21,1,2011577275
Dont smile at me,Idontwannabeyouanymore,07/20/2017,3,24,2,1311272559
Dont smile at me,Party Favor,04/21/2018,3,25,8,310078984
Dont smile at me,Hostage,08/11/2017,3,50,6,599247400
Dont smile at me,My Boy,07/27/2017,2,51,5,604548256
Dont smile at me,Bellyache,02/24/2017,3,0,3,1183448618
Dont smile at me,&burn,12/15/2017,3,0,9,254219719
WWAFAWDWG,!!!!!!!,03/29/2019,0,14,15,235606
WWAFAWDWG,Bad Guy,03/29/2019,3,14,1,2836964602
WWAFAWDWG,Xanny,03/29/2019,4,4,12,523380331
WWAFAWDWG,You Should See Me In A Crown,03/29/2019,3,1,6,1003383921
WWAFAWDWG,All The Good Girls Go To Hell,03/29/2019,2,42,8,737358468
WWAFAWDWG,Wish You Where gay,03/29/2019,3,42,7,891679340
WWAFAWDWG,When the Party's Over,03/29/2019,3,16,2,2367356936
WWAFAWDWG,8,03/29/2019,2,53,13,343674761
WWAFAWDWG,My strange Addiction,03/29/2019,3,0,10,622540450
WWAFAWDWG,Bury A Friend,03/29/2019,3,13,5,1131114028
WWAFAWDWG,Ilomilo,03/29/2019,2,16,11,536656614
WWAFAWDWG,Listen Before I go,03/29/2019,4,3,9,683812031
WWAFAWDWG,I Love You,03/29/2019,4,52,4,1270513065
WWAFAWDWG,GoodBye,03/29/2019,1,59,14,289690419
Happier Than Ever,Happier Than Ever,07/30/2021,4,48,3,1727768223
Happier Than Ever,Goldwing,07/30/2021,2,31,10,163811172
Happier Than Ever,Billie Bossa Nova,07/30/2021,3,16,3,484159377
Happier Than Ever,Lost Cause,07/30/2021,3,32,5,386956528
Happier Than Ever,Male Fantasy,07/30/2021,3,14,9,276190583
Happier Than Ever,Getting Older,07/30/2021,4,4,6,337353388
Happier Than Ever,Everybody Dies,07/30/2021,3,26,11,154539523
Happier Than Ever,OerHeated,07/30/2021,3,34,13,139031095
Happier Than Ever,Halley's comet,07/30/2021,3,54,4,421565339
Happier Than Ever,My Future,07/30/2021,3,30,1,569080586
Happier Than Ever,I Didn't Change My Number,07/30/2021,2,38,7,305160375
Happier Than Ever,Not My Responsability,07/30/2021,3,47,12,152282224
Happier Than Ever,Oxytocin,07/30/2021,3,30,8,280012340
Happier Than Ever,Your Power,07/30/2021,4,4,2,529819814
Hit Me Hard And Soft,SKINNY,05/17/2023,3,39,8,337919052
Hit Me Hard And Soft,Lunch,05/17/2023,2,59,4,906838407
Hit Me Hard And Soft,Shihiro,05/17/2023,5,3,3,1045480192
Hit Me Hard And Soft,Birds Of A Feather,05/17/2023,3,30,1,3267780981
Hit Me Hard And Soft,Wildflower,05/17/2023,4,21,2,1706510882
Hit Me Hard And Soft,The Greatest,05/17/2023,4,53,7,457200580
Hit Me Hard And Soft,L'AMOUR DE MA VIE,05/17/2023,5,33,6,473980422
Hit Me Hard And Soft,The Diner,05/17/2023,3,6,9,292952310
Hit Me Hard And Soft,Bittersuit,05/17/2023,4,58,10,255274108
Hit Me Hard And Soft,BLUE,05/17/2023,5,43,5,481674706
